30qm,,60qm,,100qm,
X,Y,X,Y,X,Y
2011.0174825174824,10.864321608040202,2011.0052447552448,9.597989949748742,2011,8.66812887969258
2012.0087412587413,11.110552763819095,2012.0087412587413,9.28140703517588,2011.1,8.758510198049068
2013,10.72361809045226,2013,9.316582914572864,2011.1999999999998,8.848891516405555
2014.0034965034965,12.658291457286431,2014.0034965034965,10.020100502512564,2011.2999999999997,8.939272834762043
2015.006993006993,13.045226130653266,2015.006993006993,9,2011.3999999999996,9.052249482707655
2015.9982517482517,12.447236180904522,2015.9982517482517,9.844221105527637,2011.4999999999995,9.142630801064143
2017.0017482517483,12.623115577889447,2017.0017482517483,10.125628140703517,2011.5999999999995,9.23301211942063
2017.993006993007,13.819095477386934,2017.993006993007,11.21608040201005,2011.6999999999994,9.312095772982559
2018.9965034965035,13.537688442211056,2018.9965034965035,11.954773869346734,2011.7999999999993,9.43637008572273
2020,13.608040201005025,2020,12.447236180904522,2011.8999999999992,9.526751404079219
2020.991258741259,15.226130653266331,2020.991258741259,12.904522613065327,2011.999999999999,9.628430387230267
2021.9947552447552,15.85929648241206,2021.9947552447552,13.256281407035175,2012.099999999999,9.538049068873779
2022.9982517482517,17.8643216080402,2022.9982517482517,16.879396984924625,2012.199999999999,9.43637008572273
,,,,2012.2999999999988,9.357286432160803
,,,,2012.3999999999987,9.210416789831509
,,,,2012.4999999999986,9.131333136269584
,,,,2012.5999999999985,9.029654153118532
,,,,2012.6999999999985,8.939272834762043
,,,,2012.7999999999984,8.826296186816434
,,,,2012.8999999999983,8.724617203665384
,,,,2012.9999999999982,8.611640555719774
,,,,2013.099999999998,8.66812887969258
,,,,2013.199999999998,8.713319538870824
,,,,2013.299999999998,8.78110552763819
,,,,2013.3999999999978,8.826296186816434
,,,,2013.4999999999977,8.871486845994678
,,,,2013.5999999999976,8.916677505172924
,,,,2013.6999999999975,8.961868164351166
,,,,2013.7999999999975,9.029654153118532
,,,,2013.8999999999974,9.074844812296776
,,,,2013.9999999999973,9.131333136269584
,,,,2014.0999999999972,9.199119125036948
,,,,2014.199999999997,9.278202778598875
,,,,2014.299999999997,9.345988767366242
,,,,2014.399999999997,9.43637008572273
,,,,2014.5999999999967,9.594537392846586
,,,,2014.6999999999966,9.66232338161395
,,,,2014.7999999999965,9.741407035175877
,,,,2014.8999999999965,9.820490688737806
,,,,2014.9999999999964,9.899574342299733
,,,,2015.0999999999963,9.910872007094294
,,,,2015.1999999999962,9.944765001477977
,,,,2015.299999999996,9.978657995861662
,,,,2015.399999999996,10.001253325450781
,,,,2015.499999999996,10.023848655039906
,,,,2015.5999999999958,10.046443984629025
,,,,2015.6999999999957,10.069039314218148
,,,,2015.7999999999956,10.102932308601831
,,,,2015.8999999999955,10.136825302985514
,,,,2015.9999999999955,10.148122967780075
,,,,2016.0999999999954,10.306290274903931
,,,,2016.1999999999953,10.464457582027784
,,,,2016.2999999999952,10.600029559562518
,,,,2016.399999999995,10.758196866686372
,,,,2016.499999999995,10.916364173810226
,,,,2016.599999999995,11.063233816139519
,,,,2016.6999999999948,11.198805793674254
,,,,2016.7999999999947,11.356973100798108
,,,,2016.8999999999946,11.515140407921962
,,,,2016.9999999999945,11.650712385456696
,,,,2017.0999999999945,11.628117055867573
,,,,2017.1999999999944,11.582926396689329
,,,,2017.2999999999943,11.560331067100206
,,,,2017.3999999999942,11.526438072716523
,,,,2017.499999999994,11.49254507833284
,,,,2017.599999999994,11.46994974874372
,,,,2017.699999999994,11.424759089565473
,,,,2017.7999999999938,11.40216375997635
,,,,2017.8999999999937,11.356973100798108
,,,,2017.9999999999936,11.447354419154594
,,,,2018.0999999999935,11.458652083949158
,,,,2018.1999999999935,11.582926396689329
,,,,2018.2999999999934,11.695903044634939
,,,,2018.3999999999933,11.820177357375112
,,,,2018.4999999999932,11.92185634052616
,,,,2018.599999999993,12.057428318060893
,,,,2018.699999999993,12.170404966006501
,,,,2018.799999999993,12.283381613952113
,,,,2018.8999999999928,12.407655926692286
,,,,2018.9999999999927,12.520632574637895
,,,,2019.0999999999926,12.396358261897724
,,,,2019.1999999999925,12.294679278746672
,,,,2019.2999999999925,12.170404966006501
,,,,2019.3999999999924,12.046130653266331
,,,,2019.4999999999923,11.944451670115281
,,,,2019.5999999999922,11.831475022169672
,,,,2019.699999999992,11.718498374224062
,,,,2019.799999999992,11.582926396689329
,,,,2019.899999999992,11.49254507833284
,,,,2019.9999999999918,11.36827076559267
,,,,2020.0999999999917,11.424759089565473
,,,,2020.1999999999916,11.458652083949158
,,,,2020.2999999999915,11.49254507833284
,,,,2020.3999999999915,11.537735737511085
,,,,2020.4999999999914,11.582926396689329
,,,,2020.5999999999913,11.628117055867573
,,,,2020.6999999999912,11.673307715045818
,,,,2020.799999999991,11.718498374224062
,,,,2020.899999999991,11.763689033402304
,,,,2020.999999999991,11.797582027785989
,,,,2021.0999999999908,11.899261010937037
,,,,2021.1999999999907,11.989642329293527
,,,,2021.2999999999906,12.057428318060893
,,,,2021.3999999999905,12.147809636417382
,,,,2021.4999999999905,12.23819095477387
,,,,2021.5999999999904,12.328572273130357
,,,,2021.6999999999903,12.407655926692286
,,,,2021.7999999999902,12.509334909843332
,,,,2021.89999999999,12.599716228199823
,,,,2021.99999999999,12.667502216967188
,,,,2022.09999999999,12.712692876145432
,,,,2022.1999999999898,12.746585870529117
,,,,2022.2999999999897,12.780478864912798
,,,,2022.3999999999896,12.814371859296482
,,,,2022.4999999999895,12.848264853680163
,,,,2022.5999999999894,12.870860183269286
,,,,2022.6999999999894,12.916050842447532
,,,,2022.7999999999893,12.961241501625775
,,,,2022.8999999999892,12.983836831214898
,,,,2022.999999999989,13.017729825598579
